Date,Open,High,Low,Close,Adj Close,Volume,SMA_10,EMA_10,Price_RoC,RSI,MACD,Bollinger_High,Bollinger_Low,Bollinger_Mid
2009-09-14,103.87999725341795,105.45999908447266,103.1500015258789,105.27999877929688,80.45076751708984,149593800,102.66999969482421,103.41343977160464,1.8378811920660043,70.84241827866339,1.4797301534557192,106.07730075445946,98.33169811639016,102.20449943542481
2009-09-15,105.4499969482422,106.11000061035156,104.76000213623048,105.72000122070312,80.7869873046875,196795900,102.99599990844726,103.83281458053163,3.181731568768389,72.60410793651711,1.57331798959801,106.30163752698377,98.84836171007677,102.57499961853027
2009-09-16,106.0999984741211,107.33999633789062,105.7300033569336,107.31999969482422,82.0096206665039,206406300,103.70800018310547,104.46684823767573,7.105791380672215,77.97966819726233,1.75634744901717,106.89603378926826,99.07696578348565,102.98649978637695
2009-09-17,107.16999816894533,108.05999755859376,106.56999969482422,107.16000366210938,81.88738250732422,229170900,104.44200057983399,104.95651286030004,7.353239821403991,76.31587137064729,1.8669680263054573,107.39838119330543,99.29461883721214,103.34650001525878
2009-09-18,107.1500015258789,107.16000366210938,106.36000061035156,106.72000122070312,81.93956756591797,153799100,105.0490005493164,105.27714710764604,6.030799406658245,71.64489649694269,1.8972606710054123,107.7869011562795,99.47909920993143,103.63300018310547
2009-09-21,105.88999938964844,107.0,105.66000366210938,106.4499969482422,81.7322769165039,151892000,105.48800048828124,105.49039253320898,4.301390843291066,68.77480924957077,1.8778342179557086,108.12359240130037,99.49040753766447,103.80699996948242
2009-09-22,107.08000183105467,107.37000274658205,106.5999984741211,107.06999969482422,82.20831298828125,143126700,105.90100021362305,105.77759383532083,4.012043088661077,71.67036109798009,1.8906731508440373,108.53466767866162,99.49033232133839,104.0125
2009-09-23,107.31999969482422,108.02999877929688,105.98999786376952,106.18000030517578,81.52496337890625,225947400,106.14599990844727,105.85075864802172,2.3618980709098985,62.43585087463925,1.8081889087664251,108.7627452300479,99.56425443425874,104.16349983215332
2009-09-24,106.41000366210938,106.63999938964844,104.5500030517578,105.01000213623048,80.62663269042969,228636800,106.16800003051758,105.69789382769603,0.20994485998762918,52.54643779831354,1.6296251739035341,108.84517389728202,99.66582616375314,104.25550003051758
2009-09-25,104.77999877929688,105.36000061035156,104.08999633789062,104.4499969482422,80.19666290283203,204059000,106.13600006103516,105.47100348597715,-0.305430662477149,48.4639954794057,1.426480806249458,108.88132152345935,99.73467807981214,104.30799980163575
2009-09-28,104.8499984741211,106.5500030517578,104.83000183105467,106.31999969482422,81.63245391845703,118285800,106.2400001525879,105.62536643304026,0.9878428263544566,59.99565118415036,1.400239930393127,109.08816583870276,99.82183400870935,104.45499992370605
