Meta Data,Time Series (Daily)
"Daily Prices (open, high, low, close) and Volumes",
sq,
2023-11-22,
Compact,
US/Eastern,
,"{'1. open': '78.0650', '2. high': '79.2100', '3. low': '77.5700', '4. close': '79.0300', '5. volume': '6736793'}"
,"{'1. open': '75.3050', '2. high': '78.8000', '3. low': '74.3100', '4. close': '78.0600', '5. volume': '10001947'}"
,"{'1. open': '76.3150', '2. high': '77.1100', '3. low': '74.8400', '4. close': '75.4600', '5. volume': '9343857'}"
,"{'1. open': '72.7400', '2. high': '76.6500', '3. low': '72.5300', '4. close': '76.2000', '5. volume': '15648336'}"
,"{'1. open': '72.8300', '2. high': '73.0399', '3. low': '70.5800', '4. close': '71.2200', '5. volume': '7823919'}"
,"{'1. open': '69.7500', '2. high': '72.1200', '3. low': '69.0600', '4. close': '71.1000', '5. volume': '10022646'}"
,"{'1. open': '66.8400', '2. high': '69.6500', '3. low': '66.7200', '4. close': '69.0600', '5. volume': '9165934'}"
,"{'1. open': '64.2000', '2. high': '68.4200', '3. low': '64.1000', '4. close': '67.2700', '5. volume': '11732918'}"
,"{'1. open': '67.3800', '2. high': '67.3800', '3. low': '63.4400', '4. close': '64.6100', '5. volume': '16455859'}"
,"{'1. open': '65.7300', '2. high': '69.4000', '3. low': '65.1400', '4. close': '68.9700', '5. volume': '12995781'}"
