date,open,high,low,close,volume,PSAR,Historical_Volatility,ZigZag
2023-09-27,172.62,173.04,169.05,170.43,66921808,191.850504,0.038839006197031435,
2023-09-26,174.82,175.2,171.66,171.96,64588945,191.32689392,0.03735328204844179,
2023-09-25,174.2,176.97,174.15,176.08,46172740,190.81375604160002,0.04433998340237458,
2023-09-22,174.67,177.079,174.05,174.79,56725385,190.31088092076803,0.04508301713145258,
2023-09-21,174.55,176.3,173.86,173.93,63149116,189.81806330235267,0.042771696115000146,
2023-09-20,179.26,179.695,175.4,175.49,58436181,189.3351020363056,0.04372922885951185,
2023-09-19,177.52,179.63,177.13,179.07,51826941,188.8617999955795,0.047724618604763853,
2023-09-18,176.48,179.38,176.17,177.97,67257573,188.3979639956679,0.04733749905615366,
2023-09-15,176.48,176.495,173.82,175.01,109259461,187.94340471575455,0.0501250485998907,
2023-09-14,174.0,176.1,173.58,175.74,60895757,187.49793662143946,0.0490096338472946,
2023-09-13,176.51,177.3,173.98,174.21,84267928,187.06137788901069,0.04943716146559537,
2023-09-12,179.49,180.13,174.82,176.3,90370192,186.63355033123048,0.05073149375165771,
2023-09-11,180.07,180.3,177.34,179.36,58953052,186.21427932460588,0.05367119744587432,
2023-09-08,178.35,180.239,177.79,178.18,65602066,185.80339373811375,0.0533979459564554,
2023-09-07,175.18,178.21,173.54,177.56,112488803,185.40072586335148,0.05125746913695609,
2023-09-06,188.4,188.85,181.47,182.91,81755816,165.67,0.05805995903357112,
2023-09-05,188.28,189.98,187.61,189.7,45280027,166.21519999999998,0.06613695869259247,
2023-09-01,189.485,189.92,188.28,189.46,45766503,166.749496,0.06632249135625197,
2023-08-31,187.84,189.12,187.48,187.87,60794467,167.27310608,0.06469673740898715,
2023-08-30,184.94,187.85,184.74,187.65,60813888,167.78624395839998,0.0644896071311787,
2023-08-29,179.695,184.9,179.5,184.12,53003948,168.28911907923197,0.06851427506310656,
2023-08-28,180.09,180.59,178.545,180.19,43820697,168.78193669764732,0.07279633198151816,
2023-08-25,177.38,179.15,175.82,178.61,51449594,169.26489796369438,0.06996563175623138,
2023-08-24,180.674,181.104,176.01,176.38,54945798,169.7382000044205,0.07078721670359488,
2023-08-23,178.52,181.55,178.325,181.12,52722752,170.2020360043321,0.07512291463543662,
2023-08-22,177.06,177.68,176.25,177.23,42084245,170.65659528424544,0.07833874672747862,
2023-08-21,175.07,176.13,173.735,175.84,46311879,171.10206337856053,0.07589870254379874,
2023-08-18,172.3,175.1,171.96,174.49,61172150,171.5386221109893,0.07602687401697181,
2023-08-17,177.14,177.5054,173.48,174.0,66062882,171.96,0.07423658306757336,
2023-08-16,177.13,178.54,176.5,176.57,46964857,172.3794,0.07562881847342472,
2023-08-15,178.88,179.48,177.05,177.45,43622593,172.790412,0.07515681213925415,
2023-08-14,177.97,179.69,177.305,179.46,43675627,173.19320376000002,0.07505760947870153,
2023-08-11,177.32,178.62,176.55,177.79,52036672,173.5879396848,0.07366478693757583,
2023-08-10,179.48,180.75,177.6,177.97,54686851,173.97478089110402,0.07338740796308495,
2023-08-09,180.87,180.93,177.01,178.19,60378492,174.35388527328195,0.07330717289487362,
2023-08-08,179.69,180.27,177.58,179.8,67823003,174.72540756781632,0.06720615962964664,
2023-08-07,182.13,183.13,177.35,178.85,97576069,175.08949941646,0.054595045322305816,
2023-08-04,185.52,187.38,181.92,181.99,115956841,175.4463094281308,0.058268220516004166,
2023-08-03,191.57,192.37,190.69,191.17,62243282,175.7959832395682,0.07706390815315624,
2023-08-02,195.04,195.18,191.8507,192.58,50389327,176.1386635747768,0.07729687267057307,
2023-08-01,196.235,196.73,195.28,195.605,35281426,176.5194903032813,0.07545569816784882,
2023-07-31,196.06,196.49,195.26,196.45,38824113,176.92370049721566,0.07087278410493866,
2023-07-28,194.67,196.626,194.14,195.83,48291443,177.31982648727134,0.06999138693448624,
2023-07-27,196.02,197.2,192.55,193.22,47460180,177.70802995752592,0.07021660146963708,
2023-07-26,193.67,195.64,193.32,194.5,47471868,178.0978693583754,0.0663798518380957,
2023-07-25,193.33,194.44,192.915,193.62,37283201,178.47991197120788,0.06154134956251842,
2023-07-24,193.41,194.91,192.25,192.75,45505097,178.85431373178372,0.0609216592221366,
2023-07-21,194.1,194.97,191.23,191.94,71951683,179.22122745714805,0.060275696162166555,
2023-07-20,195.09,196.47,192.495,193.13,59581196,179.5808029080051,0.059754193408529055,
2023-07-19,193.1,198.23,192.65,195.1,80507323,179.933186849845,0.059170711540711525,
2023-07-18,193.35,194.33,192.415,193.73,48353774,180.2991231128481,0.06038273330452165,
2023-07-17,191.9,194.32,191.81,193.99,50520159,180.65774065059114,0.06000768156868702,
2023-07-14,190.23,191.1799,189.63,190.69,41616242,181.0091858375793,0.06228618546571946,
2023-07-13,190.5,191.19,189.78,190.54,41342338,181.35360212082773,0.06238778663312152,
2023-07-12,189.68,191.7,188.47,189.77,60750248,181.69113007841116,0.06280433605434711,
2023-07-11,189.16,189.3,186.6,188.08,46638119,182.02190747684293,0.0636035718839422,
2023-07-10,189.26,189.99,187.035,188.61,59922163,182.34606932730605,0.06310548054726949,
2023-07-07,191.41,192.67,190.24,190.68,46814998,182.66374794075995,0.06182993374903447,
2023-07-06,189.84,192.02,189.2,191.81,45156009,182.97507298194475,0.037741202121723244,
2023-07-05,191.565,192.98,190.62,191.33,46920261,183.28017152230586,0.03704752723110375,
