,v,vw,o,c,h,l,t,n
201,57243343.0,313.3916,311.385,315.46,316.39,309.931,1659067200000,402815
202,46358833.0,315.7759,313.65,315.27,318.81,312.53,1659326400000,353426
203,48586501.0,314.9272,312.92,314.33,318.545,311.8401,1659412800000,361863
204,53659849.0,320.6592,316.05,322.89,323.7291,315.99,1659499200000,376241
205,38973659.0,323.1476,322.97,324.4,324.72,320.77,1659585600000,306333
206,53893972.0,320.9736,319.19,321.75,323.83,318.39,1659672000000,405618
207,44051297.0,322.546,322.69,320.71,326.47,319.21,1659931200000,365112
208,39666720.0,317.2161,318.77,317.08,319.03,315.42,1660017600000,301987
209,51409564.0,324.4633,324.59,325.93,326.23,322.0601,1660104000000,375982
210,45841650.0,326.528,328.305,324.08,330.36,323.36,1660190400000,355460
211,40602879.0,328.0359,326.175,330.39,330.585,325.1001,1660276800000,282619
212,37691014.0,331.6462,329.42,333.06,333.5652,329.4,1660536000000,265045
213,41088114.0,331.9143,332.055,332.28,334.4209,329.16,1660622400000,297395
214,47793655.0,328.7306,329.07,328.49,331.43,326.36,1660708800000,356547
215,41251672.0,329.0652,328.44,329.28,330.49,326.79,1660795200000,259027
216,51770570.0,323.851,326.17,322.86,326.84,322.08,1660881600000,312926
217,50851890.0,316.212,318.5,314.36,318.74,313.53,1661140800000,334639
218,39497074.0,314.7515,314.12,314.1,317.0,313.33,1661227200000,260788
219,38034359.0,315.0101,313.61,315.01,316.87,312.99,1661313600000,245427
220,37618255.0,317.96,316.83,320.58,320.6,315.7577,1661400000000,235792
221,69034840.0,312.775,320.28,307.44,321.51,307.35,1661486400000,486418
222,48034051.0,305.4016,304.62,304.41,307.22,303.28,1661745600000,346218
223,51130500.0,301.3363,306.1,301.02,306.73,298.44,1661832000000,371618
224,49029441.0,301.1912,303.99,299.27,304.91,299.16,1661918400000,335755
225,57922845.0,295.9905,296.72,299.4,299.78,292.95,1662004800000,412585
226,64666339.0,298.2534,302.34,295.17,303.75,293.52,1662091200000,459219
227,56989394.0,293.6621,295.66,293.05,296.6,290.87,1662436800000,374803
228,49220381.0,296.3835,293.54,298.97,299.99,293.27,1662523200000,308966
229,55465321.0,298.8437,296.85,300.52,301.87,295.45,1662609600000,354916
230,55451515.0,305.6197,302.83,307.09,307.6,300.5209,1662696000000,317285
231,45359137.0,309.6079,308.5,310.74,311.08,308.18,1662955200000,301906
232,79522172.0,299.0854,301.8,293.7,303.02,292.785,1663041600000,540813
233,54853548.0,294.983,294.865,296.03,296.93,293.06,1663128000000,399537
234,65044911.0,292.4141,294.07,291.1,296.53,289.46,1663214400000,446834
235,79920391.0,287.8975,287.72,289.32,289.72,285.62,1663300800000,491292
236,52083531.0,288.8843,286.1,291.05,291.21,286.04,1663560000000,339455
237,50902117.0,288.7454,288.49,288.73,291.07,286.38,1663646400000,353276
238,82723223.0,288.3821,289.59,283.56,293.95,283.42,1663732800000,581745
239,62757073.0,280.8649,282.0,280.07,283.03,278.815,1663819200000,432848
240,74344189.0,275.133,277.55,275.51,277.85,272.02,1663905600000,519271
241,70536194.0,275.8089,275.03,274.37,279.49,273.56,1664164800000,412780
242,69559615.0,275.4461,277.81,274.48,280.21,272.11,1664251200000,459351
243,79625140.0,276.9029,274.46,279.94,281.25,272.945,1664337600000,400303
244,81215957.0,272.3718,275.86,271.87,276.25,268.84,1664424000000,519735
245,78248928.0,270.9585,271.03,267.26,275.19,267.1,1664510400000,460883
246,60854449.0,271.8726,269.07,273.53,275.16,267.53,1664769600000,362492
247,66690931.0,280.8409,278.99,282.13,282.85,278.99,1664856000000,400272
248,55761818.0,279.727,278.28,281.98,283.81,275.42,1664942400000,364155
249,53237411.0,281.0572,280.96,279.76,284.18,279.43,1665028800000,337897
250,71354674.0,271.5664,275.02,269.1,275.15,267.74,1665115200000,432657
251,60159990.0,266.5931,269.3,266.41,269.7,263.64,1665374400000,404471
252,66476709.0,264.0972,264.7,262.75,267.63,261.03,1665460800000,430591
253,50580179.0,263.4977,263.4,262.66,265.36,261.95,1665547200000,360837
254,112892818.0,263.4386,255.16,268.82,270.17,254.26,1665633600000,766220
255,77087702.0,264.4892,271.2,260.74,271.81,260.14,1665720000000,520736
256,64576452.0,268.4904,266.84,269.35,270.24,266.74,1665979200000,415117
257,69780995.0,272.2497,276.53,271.48,277.21,268.74,1666065600000,497609
258,52701455.0,270.5438,269.93,270.49,273.68,268.07,1666152000000,341932
259,60605496.0,270.9991,269.58,269.11,274.84,267.92,1666238400000,399767
260,77866694.0,271.7081,267.98,275.42,275.969,266.8236,1666324800000,495289
261,63963569.0,276.3086,275.69,278.45,279.4,271.97,1666584000000,409143
262,59012394.0,282.2605,279.41,284.21,284.6,277.9,1666670400000,359663
263,63672246.0,280.008,278.46,277.93,283.98,277.43,1666756800000,447700
264,57642502.0,274.122,276.79,272.87,278.2795,272.34,1666843200000,440174
