,v,vw,o,c,h,l,t,n
179,75166660.0,109.4793,113.5,107.4,114.85,107.04,1656388800000,762526
180,66361851.0,109.1282,107.38,108.92,110.99,106.91,1656475200000,601680
181,97679401.0,105.6174,108.11,106.21,108.18,102.52,1656561600000,879806
182,73021171.0,108.2573,106.29,109.56,109.75,105.8469,1656648000000,696805
183,76684414.0,111.5616,107.6,113.5,114.08,106.3242,1656993600000,692964
184,66958884.0,113.8468,113.21,114.33,115.48,112.01,1657080000000,594759
185,57872323.0,115.5833,113.85,116.33,116.99,113.49,1657166400000,544626
186,45719694.0,115.3672,114.6,115.54,116.58,113.69,1657252800000,409929
187,53535519.0,112.3426,114.08,111.75,114.3,110.87,1657512000000,515646
188,54280257.0,110.1722,112.16,109.22,113.23,108.34,1657598400000,574378
189,61344812.0,109.9975,107.03,110.4,111.78,106.01,1657684800000,624220
190,51163140.0,109.4,110.24,110.63,111.18,107.58,1657771200000,529093
191,84317816.0,113.813,112.5,113.55,115.59,111.59,1657857600000,657502
192,58115419.0,115.3239,115.0,113.76,117.24,113.15,1658116800000,533262
193,60990043.0,116.97,115.7,118.21,118.95,114.03,1658203200000,529067
194,71268322.0,121.8831,118.615,122.77,123.475,118.32,1658289600000,628082
195,60239892.0,123.4436,123.2,124.63,124.85,121.26,1658376000000,540811
196,51457656.0,123.1489,125.01,122.42,125.5,121.3504,1658462400000,481496
197,50221259.0,121.2749,122.695,121.14,123.64,120.03,1658721600000,493826
198,66575064.0,115.8692,115.79,114.81,118.15,114.53,1658808000000,587417
199,61582015.0,119.6463,117.31,120.97,121.9,117.16,1658894400000,552690
200,82233543.0,125.0867,121.57,122.28,122.84,118.08,1658980800000,741399
201,148279421.0,135.9208,134.9,134.95,137.65,132.41,1659067200000,1156951
202,76830108.0,136.3905,134.96,135.39,138.8339,133.51,1659326400000,706776
203,61922429.0,135.47,134.72,134.16,137.44,134.09,1659412800000,554084
204,71827780.0,138.9088,136.21,139.52,140.49,136.05,1659499200000,622396
205,70544220.0,141.8862,140.58,142.57,143.56,139.55,1659585600000,624572
206,50597336.0,140.8713,140.1,140.8,142.86,139.6,1659672000000,488737
207,52303475.0,140.8102,142.05,139.41,144.23,138.29,1659931200000,539697
208,40434715.0,137.5259,138.052,137.83,138.9523,136.21,1660017600000,414878
209,54773819.0,142.4663,142.9,142.69,144.6,141.01,1660104000000,520059
210,44867336.0,141.9596,143.86,140.64,144.49,139.76,1660190400000,462722
211,47625184.0,141.9597,142.05,143.55,143.57,140.1201,1660276800000,431804
212,39014583.0,142.725,142.8,143.18,143.76,141.49,1660536000000,449136
213,59102859.0,144.2807,143.905,144.78,146.57,142.0,1660622400000,573566
214,48149778.0,142.0317,142.69,142.1,143.38,140.78,1660708800000,497832
215,37458737.0,141.974,141.32,142.3,142.77,140.38,1660795200000,408739
216,47792843.0,138.8431,140.47,138.23,141.11,137.9142,1660881600000,482372
217,50461504.0,133.8005,135.72,133.22,136.32,132.85,1661140800000,563053
218,36238603.0,133.9376,133.41,133.62,134.99,132.95,1661227200000,411991
219,38626978.0,133.9873,132.75,133.8,135.47,132.1,1661313600000,396697
220,37470633.0,136.2528,135.26,137.28,137.42,134.28,1661400000000,399626
221,53322663.0,132.908,136.55,130.75,137.83,130.5,1661486400000,576724
222,48101638.0,130.2288,129.9,129.79,131.9499,128.77,1661745600000,555265
223,49202990.0,128.5177,131.25,128.73,132.0745,126.85,1661832000000,535584
