,v,vw,o,c,h,l,t,n
73,115777137.0,159.4274,158.98,159.78,162.76,157.02,1643086800000,1008306
74,108275307.0,161.41,163.5,159.69,164.3894,157.82,1643173200000,1017706
75,121954638.0,161.2969,162.45,159.22,163.84,158.28,1643259600000,1161003
76,179435660.0,167.3083,165.71,170.33,170.35,162.8,1643346000000,1518049
77,115522090.0,173.1568,170.16,174.78,175.0,169.51,1643605200000,933480
78,85595911.0,173.7061,174.01,174.61,174.84,172.31,1643691600000,735250
79,84914158.0,174.9413,174.745,175.84,175.88,173.33,1643778000000,676308
80,89418074.0,174.3835,174.48,172.9,176.2399,172.12,1643864400000,724838
81,82446700.0,172.3165,171.68,172.39,174.1,170.68,1643950800000,702966
82,77251204.0,172.4426,172.86,171.66,173.9458,170.95,1644210000000,571410
83,74829217.0,173.8127,171.73,174.83,175.35,171.43,1644296400000,634268
84,71204538.0,175.8287,176.05,176.28,176.65,174.9,1644382800000,573996
85,90715899.0,173.5408,174.14,172.12,175.48,171.55,1644469200000,761963
86,98490687.0,170.1997,172.33,168.64,173.08,168.04,1644555600000,815714
87,86185530.0,168.3917,167.37,168.88,169.58,166.56,1644814800000,757491
88,64286317.0,171.6596,170.97,172.79,172.95,170.25,1644901200000,562851
89,61139697.0,171.6489,171.85,172.55,173.34,170.05,1644987600000,543032
90,69589344.0,170.1812,171.03,168.88,171.91,168.47,1645074000000,584118
91,82772674.0,167.7969,169.82,167.3,170.5413,166.19,1645160400000,687677
92,91148358.0,164.5551,164.98,164.32,166.69,162.15,1645506000000,897217
93,90009247.0,162.1577,165.54,160.07,166.15,159.75,1645592400000,820313
94,141147540.0,158.0144,152.58,162.74,162.85,152.0,1645678800000,1383829
95,91974222.0,163.7895,163.84,164.85,165.12,160.8738,1645765200000,812155
96,95056629.0,164.268,163.06,165.12,165.42,162.43,1646024400000,791485
97,83468865.0,164.16,164.695,163.2,166.6,161.97,1646110800000,749653
98,79724750.0,165.8095,164.39,166.56,167.36,162.95,1646197200000,668260
99,76678441.0,166.918,168.47,166.23,168.91,165.55,1646283600000,651764
100,83819592.0,163.398,164.49,163.17,165.55,162.1,1646370000000,743696
101,96418845.0,161.4026,163.36,159.3,165.02,159.04,1646629200000,847057
102,131139480.0,158.7737,158.82,157.44,162.88,155.8,1646715600000,1139149
103,91445405.0,161.9446,161.475,162.95,163.41,159.41,1646802000000,733685
104,105342033.0,158.0284,160.2,158.52,160.39,155.98,1646888400000,882861
105,96917302.0,156.1598,158.93,154.73,159.28,154.5,1646974800000,880727
106,108712111.0,151.683,151.45,150.62,154.12,150.1,1647230400000,969357
107,92964302.0,153.4741,150.9,155.09,155.57,150.38,1647316800000,719955
108,102300157.0,157.6528,157.05,159.59,160.0,154.46,1647403200000,833066
109,75615376.0,159.4208,158.61,160.62,161.0,157.63,1647489600000,629003
110,122610172.0,162.5971,160.51,163.98,164.48,159.76,1647576000000,713986
111,95811352.0,164.7355,163.51,165.38,166.35,163.015,1647835200000,721125
112,81532007.0,168.2308,165.51,168.82,169.42,164.91,1647921600000,638943
113,98062674.0,170.7915,167.99,170.21,172.64,167.65,1648008000000,784481
114,90131418.0,172.2655,171.06,174.07,174.14,170.21,1648094400000,688102
115,80529356.0,174.0232,173.88,174.72,175.28,172.75,1648180800000,663600
116,90371916.0,174.3754,172.17,175.6,175.73,172.0,1648440000000,716107
117,99459940.0,177.8604,176.69,178.96,179.01,176.34,1648526400000,775943
118,91340654.0,178.1191,178.55,177.77,179.61,176.7,1648612800000,695863
119,103049285.0,175.8765,177.84,174.61,178.03,174.4,1648699200000,716272
120,78251328.0,173.4143,174.03,174.31,174.88,171.94,1648785600000,661160
