date,open,high,low,close,volume,SMA_10,EMA_10,Price_RoC,RSI,MACD,Bollinger_High,Bollinger_Low,Bollinger_Mid
2023-08-02,255.57,259.52,250.49,254.11,101752865,247.13400000000001,248.30067725441478,12.637411347517741,58.86946020428533,0.5167702482088714,263.7519536423738,216.0090463576262,239.88049999999998
2023-08-01,266.26,266.47,260.25,261.07,83645720,249.94500000000002,250.62237229906663,12.06644917582417,64.37253038323922,1.5798238172462788,264.56253601324556,215.5874639867544,240.075
2023-07-31,267.48,269.08,263.78,267.43,84582172,252.712,253.67830460832724,11.540707374040714,68.63353137534449,2.9020472822500096,268.72311008979295,214.28788991020699,241.50549999999998
2023-07-28,259.86,267.25,258.2312,266.44,111446026,255.09099999999998,255.99861286135862,9.80424479703276,67.24259679845922,3.8259312245492083,272.1501435795738,213.64585642042613,242.89799999999997
2023-07-27,268.31,269.13,255.3,255.71,103697263,256.12800000000004,255.94613779565705,4.226787315562079,54.05103074455725,3.6502171482930237,273.3167407060591,215.04625929394086,244.18149999999997
2023-07-26,263.25,268.04,261.75,264.35,95856177,258.344,257.4741127419012,9.149841033899015,60.91174959502795,4.160182277741399,275.7543121382637,215.35768786173628,245.55599999999998
2023-07-25,272.38,272.9,265.0,265.28,112757327,259.902,258.8933649706464,6.239487384861828,61.59752167291212,4.586506156622761,277.9641364574056,216.35686354259445,247.1605
2023-07-24,255.85,269.85,254.12,269.06,137005037,261.663,260.7418440668925,7.0033803937164505,64.41684184819638,5.169791176753449,280.35557447445314,217.74342552554685,249.0495
2023-07-21,268.0,268.0,255.8,260.02,161796073,262.279,260.61059969109385,2.4265343102497314,53.90156639462334,4.846726264585129,278.82710625728134,223.72489374271865,251.27599999999998
2023-07-20,279.56,280.93,261.2,262.9,175158273,262.63700000000006,261.02685429271315,1.3805337035323093,56.41977794422136,4.768122971409554,277.1557819031153,229.76421809688463,253.45999999999998
2023-07-19,296.04,299.29,289.5201,291.26,142355353,266.352,266.5237898758562,14.619652906221706,72.72301015124432,6.914537793321472,282.2167080928555,231.26929190714458,256.74300000000005
2023-07-18,290.15,295.26,286.01,293.34,112434713,269.579,271.3994644438823,12.360669552227366,73.52997249113244,8.683329602018034,287.4602711373835,232.06372886261653,259.762
2023-07-17,286.625,292.23,283.57,290.38,131569593,271.87399999999997,274.850470908631,8.581684926896752,70.244086717755,9.734054470916817,291.4314070257798,233.15459297422024,262.293
2023-07-14,277.01,285.3,276.31,281.38,120062369,273.368,276.03765801615265,5.607266176249811,61.030231847097774,9.728393847166103,293.0347054149943,235.4242945850058,264.22950000000003
2023-07-13,274.59,279.45,270.6,277.9,112681458,275.587,276.3762656495794,8.677799069258132,57.774404974878514,9.335487160783998,293.87806735685433,237.8369326431456,265.85749999999996
2023-07-12,276.325,276.52,271.46,271.99,95672139,276.351,275.57876280420135,2.890107811613386,52.490414641181005,8.44981397731334,293.26589491558093,241.42910508441898,267.34749999999997
2023-07-11,268.65,270.9,266.37,269.79,91972358,276.802,274.52626047616474,1.700090470446339,50.577156233167436,7.484117734111919,292.98192943554676,243.7220705644532,268.352
2023-07-10,276.47,277.52,265.1,269.61,119425405,276.85699999999997,273.63239493504386,0.20441537203598134,50.410116938744366,6.627870048024079,292.6376936415895,245.8823063584105,269.26
2023-07-07,278.43,280.78,273.77,274.43,113879174,278.298,273.77741403776315,5.5418813937389535,54.84704550232004,6.265990863219997,292.65363114202586,247.92336885797414,270.2885
2023-07-06,278.09,279.97,272.88,276.54,120707419,279.662,274.2797023945335,5.188284518828469,56.73012186511113,6.0793790704165644,293.08094908573105,249.2180509142689,271.1495
2023-07-05,278.82,283.85,277.6,282.48,131530862,278.784,275.7706655955274,-3.014488772917659,61.72330679002538,6.3377387305230855,293.55721208621264,251.57878791378732,272.568
2023-07-03,276.49,284.25,275.11,279.82,119685891,277.43199999999996,276.5069082145224,-4.608986159405462,58.37174422032369,6.255738592651824,294.02643806335414,252.98456193664595,273.50550000000004
2023-06-30,260.6,264.45,259.89,261.77,112620784,274.571,273.8274703573365,-9.852606928851854,41.4159306896142,4.680316962209645,294.22132365752935,252.2236763424706,273.22249999999997
2023-06-29,258.03,260.74,253.61,257.5,131283360,272.183,270.8588393832753,-8.486743905039447,38.47803101723975,3.052048539929217,294.6933078055269,250.85769219447315,272.7755
