Unnamed: 0,v,vw,o,c,h,l,t,n,SMA_10,EMA_10,Price_RoC,RSI,MACD,Bollinger_High,Bollinger_Low,Bollinger_Mid
287,64852563.0,265.9254,267.76,263.32,268.56,263.03,1667970000000,443956,269.845,271.39573357800083,-5.256719317813842,41.00118518624586,-3.5403772423594546,284.16830839497777,258.27669160502217,271.22249999999997
288,99256693.0,277.4949,276.01,282.75,283.05,273.85,1668056400000,700408,270.83299999999997,272.42793961636437,3.6207717960933765,59.63648291274453,-2.1968621082029927,285.7420154452449,258.0959845547551,271.919
289,66880251.0,285.7282,282.56,287.96,288.64,281.19,1668142800000,446119,271.507,273.8399451057858,2.3967000924542887,63.10820716016079,-0.7036025346250767,287.77604083877674,258.7839591612233,273.28000000000003
290,55078548.0,286.7582,285.86,285.44,289.215,284.44,1668402000000,374846,272.256,274.89449555071434,2.694729267853934,60.31992130624078,0.2733228011937854,289.38255409192567,258.7864459080743,274.0845
291,73924572.0,290.3482,292.21,289.39,293.26,285.97,1668488400000,546404,273.684,276.21226868246754,5.190651012322334,63.15511481477619,1.3507050694143459,291.6028084269622,258.3571915730378,274.98
292,48477184.0,286.262,287.39,285.44,289.4838,284.6,1668574800000,347848,275.65999999999997,277.0511533476978,7.437518819632636,58.50998695285551,1.8643156206479716,292.81354796316236,258.64145203683756,275.72749999999996
293,54801576.0,283.7447,280.88,284.81,286.3189,280.72,1668661200000,351535,278.092,277.7565030433616,9.336250911743251,57.757158701070075,2.1952148773621047,293.75222839111706,259.2727716088829,276.5125
294,53358612.0,284.5924,287.89,284.82,287.99,282.3211,1668747600000,311320,280.10599999999994,278.3986391303287,7.609188453982162,57.766742494161456,2.4302474588063774,294.5861597047173,259.3788402952826,276.98249999999996
295,39742527.0,282.4054,283.4,281.89,284.58,281.04,1669006800000,273605,281.536,278.7160355730261,5.343996412421994,53.79354985052588,2.3529624732278194,294.8789604713229,259.43003952867707,277.1545
296,41743694.0,283.5881,282.64,285.95,286.11,280.46,1669093200000,268298,283.177,279.373668702751,6.088150181791187,58.21806970805669,2.5894718153161307,295.1200449911196,259.36295500888036,277.2415
297,46224417.0,288.0382,285.97,288.82,289.46,285.79,1669179600000,289682,285.727,280.23242609340997,9.684034634665046,61.14068741567213,2.9742073760369863,296.3648583072127,259.20714169278716,277.78599999999994
298,15355997.0,287.2009,287.19,286.92,287.91,286.42,1669352400000,137806,286.144,280.8403873576454,1.4748010610079632,58.14874617137957,3.090177318185397,297.33133765783407,259.6456623421659,278.4885
299,38721345.0,284.0218,284.9,282.71,286.96,281.76,1669611600000,271652,285.61899999999997,281.010352143314,-1.8231698847062092,51.89636215211991,2.809980807695524,297.46015121386,259.66584878614,278.563
300,35599078.0,281.0674,282.94,280.57,283.35,279.17,1669698000000,276081,285.13199999999995,280.9703201302854,-1.7061378923766832,48.92519540007019,2.38771880309298,297.60865400158013,259.7793459984199,278.694
301,74634788.0,286.6062,280.84,293.36,293.47,279.97,1669784400000,489451,285.529,282.09665466389583,1.3718511351463518,62.99445345597929,3.0499611777993323,299.47815848638436,259.7348415136156,279.6065
302,51494132.0,293.4718,293.69,293.72,295.75,290.88,1669870800000,361652,286.35699999999997,283.1533224217235,2.900784753363239,63.310532235858034,3.5627725975516,300.70796930755995,261.3090306924401,281.0085
