Unnamed: 0,v,vw,o,c,h,l,t,n,SMA_10,EMA_10,Price_RoC,RSI,MACD,Bollinger_High,Bollinger_Low,Bollinger_Mid
219,55474144.0,165.5946,166.005,165.81,167.19,164.43,1659585600000,525012,158.875,154.73579582556405,6.733183134856781,73.90810603665875,5.299923173576644,166.91314063680704,140.79785936319297,153.8555
220,56696985.0,164.7432,163.21,165.35,165.85,163.0,1659672000000,491310,160.001,155.7007234777855,7.307417742877533,72.37244162467128,5.445251231250893,168.3461212149283,141.19587878507173,154.77100000000002
221,60362338.0,165.8939,166.37,164.87,167.81,164.2,1659931200000,540017,161.19299999999998,156.53429407071408,7.79339653481531,70.6699693581374,5.458767501722178,169.2274451472147,142.31455485278528,155.771
222,63075503.0,164.8395,164.02,164.92,165.82,163.25,1660017600000,480552,162.525,157.29663097337644,8.786279683377304,70.74960816905434,5.4111375996501465,169.93529577293612,143.51270422706386,156.724
223,70170540.0,168.3496,167.68,169.24,169.34,166.9,1660104000000,559789,163.77,158.38239179397857,7.9405574335098015,76.7976574093984,5.656770723671798,171.13977316772684,144.68322683227314,157.9115
224,57142109.0,169.3737,170.06,168.49,170.99,168.19,1660190400000,507914,164.884,159.30126526725323,7.07975850015889,73.85200872119012,5.724924644501584,172.16133976052257,145.66366023947742,158.9125
225,68039382.0,171.0754,169.82,172.1,172.17,169.4,1660276800000,557624,165.843,160.46478660659386,5.901175312288477,78.30282440421816,6.001057492507812,173.80096418208825,146.21703581791172,160.009
226,54091694.0,172.6254,171.52,173.19,173.39,171.345,1660536000000,501625,167.011,161.6216241878126,7.231750356015112,79.47491971736648,6.2359643393217254,174.9039639045811,147.7260360954189,161.315
227,56377050.0,172.7427,172.78,173.03,173.71,171.6618,1660622400000,515134,168.313,162.6587492616478,8.13699143803513,78.78080521832841,6.336179511733519,176.05376992473236,148.7792300752676,162.41649999999998
228,79542037.0,174.3135,172.77,174.55,176.15,172.57,1660708800000,686577,169.15500000000003,163.73977205604348,5.068319990368997,80.5718768752137,6.463742059785659,177.391962014337,149.59203798566298,163.492
229,62290075.0,174.1366,173.75,174.15,174.9,173.12,1660795200000,545655,169.98899999999998,164.68615641458499,5.029853446716123,78.63120162001263,6.458114516979975,178.54350962866883,150.32049037133115,164.432
230,70336995.0,172.2302,173.03,171.52,173.74,171.3101,1660881600000,573126,170.606,165.30741492234998,3.7314786815845276,66.8653409979175,6.170308157038448,178.8958953370999,151.71110466290008,165.30349999999999
231,68975809.0,168.2677,169.69,167.57,169.86,167.135,1661140800000,620800,170.87600000000003,165.5131044748636,1.6376539091405282,53.50489045093622,5.559402226519694,178.40872235940571,153.6602776405943,166.0345
232,54147079.0,167.6231,167.08,167.23,168.71,166.65,1661227200000,494686,171.10700000000003,165.66918588623963,1.4006791171477093,52.50158818477028,4.990294705725574,177.27034340358196,156.36165659641804,166.816
