,v,vw,o,c,h,l,t,n
53,13081308.0,97.2191,98.95,96.17,100.57,95.61,1639112400000,132365
54,17018473.0,94.7339,95.79,94.5,96.89,92.46,1639371600000,182614
55,12551322.0,92.9979,92.37,93.42,94.72,91.53,1639458000000,132856
56,23968047.0,92.456,93.05,95.43,95.79,90.055,1639544400000,230556
57,20432289.0,93.5004,96.84,91.87,97.07,90.87,1639630800000,238304
58,26902838.0,95.1221,90.82,97.2,97.51,89.6,1639717200000,268779
59,13357610.0,94.9838,95.0,94.73,96.46,93.28,1639976400000,165263
60,11462755.0,96.8808,96.14,98.37,98.49,94.7,1640062800000,137630
61,12411091.0,98.2493,98.24,98.26,99.88,96.93,1640149200000,130861
62,8100725.0,98.328,98.11,99.07,99.71,96.03,1640235600000,95174
63,7416255.0,97.8739,98.7,97.41,99.14,97.07,1640581200000,96645
64,9604385.0,96.9007,97.24,95.63,99.03,95.48,1640667600000,108164
65,9883272.0,93.8014,94.79,93.83,95.15,92.78,1640754000000,115478
66,9528370.0,96.839,93.33,96.7,98.43,93.33,1640840400000,98934
67,7090680.0,96.0429,96.71,94.59,98.075,94.48,1640926800000,85919
68,10381061.0,95.8849,96.0,96.99,97.17,93.44,1641186000000,124477
69,19120908.0,92.3896,96.73,92.69,97.0,90.515,1641272400000,210291
70,20246504.0,88.8997,91.45,86.12,92.95,85.63,1641358800000,255071
71,20026503.0,85.6273,85.97,85.58,87.59,82.65,1641445200000,228496
72,15288559.0,85.6418,85.85,84.42,88.59,83.9,1641531600000,157808
73,23683022.0,82.1042,83.2231,84.64,84.69,80.1,1641790800000,235363
74,13833922.0,85.98,84.42,86.98,87.55,83.3,1641877200000,138250
75,19750915.0,85.9561,87.97,84.56,89.34,84.33,1641963600000,193720
76,25331694.0,81.6587,85.01,79.98,85.17,79.845,1642050000000,261861
77,25199249.0,79.3204,79.45,80.24,81.29,77.53,1642136400000,252874
78,23466142.0,78.1948,78.7399,76.91,80.66,76.91,1642482000000,214568
79,31651969.0,77.2739,77.7,75.75,79.48,75.66,1642568400000,283312
80,24563174.0,78.7092,77.05,75.87,80.84,75.61,1642654800000,232556
81,38022897.0,73.5075,74.8,71.52,76.36,71.49,1642741200000,341441
82,66449084.0,69.0986,68.59,73.54,73.57,64.98,1643000400000,694276
83,37188007.0,71.034,71.36,70.8,73.46,69.19,1643086800000,334589
84,34295779.0,72.0281,73.44,69.03,74.91,68.54,1643173200000,275704
85,21663665.0,68.0267,70.59,66.33,70.65,66.041,1643259600000,219119
86,38032820.0,67.2169,66.22,68.91,69.51,64.35,1643346000000,392162
87,28613216.0,73.634,70.06,75.43,75.44,69.77,1643605200000,262786
88,23869920.0,75.8552,76.69,77.08,77.38,73.29,1643691600000,204276
89,30933503.0,73.6914,77.41,73.14,77.56,71.91,1643778000000,320652
90,31392266.0,70.0908,70.14,69.04,72.02,68.86,1643864400000,284630
91,29067147.0,71.4001,69.7499,72.75,73.645,68.2,1643950800000,267346
92,20577133.0,73.3407,72.6699,72.48,75.71,71.81,1644210000000,185655
93,17707172.0,71.9363,72.03,72.39,72.78,70.46,1644296400000,152478
94,22058921.0,75.2802,73.63,76.11,76.48,73.52,1644382800000,192982
95,32600439.0,75.7694,74.31,73.76,78.25,73.1,1644469200000,318440
96,30130348.0,73.3294,74.25,71.9,76.24,70.92,1644555600000,285675
97,22902523.0,72.3505,71.54,71.39,74.13,70.56,1644814800000,226271
98,19152350.0,73.9857,72.99,75.28,75.39,72.28,1644901200000,165253
99,15095660.0,72.8033,73.82,72.87,73.83,71.67,1644987600000,141673
100,19486060.0,69.4356,71.66,68.18,71.91,67.73,1645074000000,219716
101,26833180.0,65.3611,67.115,64.8,67.66,63.99,1645160400000,330079
102,26141555.0,64.1869,63.45,63.39,66.29,62.75,1645506000000,309217
103,22715613.0,62.2635,64.08,60.88,64.87,60.87,1645592400000,241409
104,37847547.0,62.4556,57.55,65.62,65.95,57.5,1645678800000,368403
105,23424141.0,66.4732,66.53,67.82,67.82,63.95,1645765200000,234150
106,24211256.0,69.7074,68.0699,70.47,71.38,67.45,1646024400000,273285
107,20732997.0,69.1307,70.2,68.31,71.23,67.68,1646110800000,265546
108,18851090.0,66.8434,68.47,67.56,68.63,65.15,1646197200000,251387
109,24278235.0,64.505,68.0213,63.26,68.04,62.73,1646283600000,289933
110,22967601.0,61.2695,63.26,60.23,64.41,59.7,1646370000000,259571
111,24605554.0,59.3506,60.83,58.05,62.18,58.02,1646629200000,275981
112,31957190.0,58.8585,57.69,58.62,61.21,56.22,1646715600000,392692
113,20602057.0,61.5853,60.37,61.71,62.56,60.3,1646802000000,193454
