Unnamed: 0,v,vw,o,c,h,l,t,n,SMA_10,EMA_10,Price_RoC,RSI,MACD,Bollinger_High,Bollinger_Low,Bollinger_Mid
238,53648702.0,127.9242,129.45,126.77,130.59,126.74,1661918400000,504228,133.449,133.26347583769876,-10.788177339901477,34.89404066064178,0.5290135628015378,148.44358032761036,126.76041967238963,137.602
239,56636145.0,125.8649,126.0,127.82,128.02,123.66,1662004800000,571470,132.001,132.76861439790795,-10.17568517217148,37.847212671764794,0.0690514595427203,148.24718593083497,125.48181406916508,136.86450000000002
240,57429829.0,128.735,129.5,127.51,131.38,126.39,1662091200000,545279,130.929,132.29055854355266,-7.755190624321771,37.29230955148065,-0.31683396562635835,148.1248899366001,124.27511006339985,136.2
241,43888587.0,126.2752,127.92,126.11,128.62,124.74,1662436800000,511678,130.21800000000002,131.72868958504787,-5.337036481008857,34.73669367447232,-0.7272361196405939,148.13400392888371,122.93599607111634,135.53500000000003
242,47834487.0,128.1536,126.12,129.48,129.82,125.4,1662523200000,411435,129.804,131.52426325913444,-3.0983385720700602,44.84582907546296,-0.7716567688580938,147.93611439470064,122.29888560529938,135.1175
243,43957909.0,128.8857,127.72,129.82,130.28,127.1,1662609600000,401127,129.406,131.36933023557677,-2.9745889387145126,45.787184034107874,-0.770542955352056,146.99616658570017,121.95183341429981,134.474
244,49422259.0,132.4594,130.91,133.27,133.69,130.76,1662696000000,436563,129.005,131.5421183959789,-2.9210372960372895,54.53584938270336,-0.48567551792876884,146.30990490151098,121.90109509848898,134.10549999999998
245,53826859.0,135.6926,134.095,136.45,136.49,134.0,1662955200000,505064,129.575,131.98828945088988,4.359464627151042,60.984164659065925,-0.0032788017945506454,145.2266935762702,122.27430642372983,133.75050000000002
246,72685970.0,128.679,131.01,126.82,131.4,126.27,1663041600000,688291,129.278,131.51844495535443,-2.288311888435164,41.28259501472224,-0.3935004196176237,143.92567037983238,121.93932962016757,132.93249999999998
247,45270372.0,127.7555,127.364,128.55,128.84,126.33,1663128000000,487615,129.26,131.2485863230495,-0.13982754602655045,44.83963068741106,-0.5567395740987706,141.81554877753595,122.42645122246407,132.121
248,52761196.0,127.2969,127.38,126.28,130.37,125.495,1663214400000,549345,129.21099999999998,130.79689665731772,-0.3865267807840932,41.20078143181265,-0.8593715091014076,140.18375174714217,122.47624825285781,131.32999999999998
249,115067804.0,122.754,122.78,123.53,123.87,120.7,1663300800000,789757,128.78199999999998,130.13626968847063,-3.3562822719449166,37.14338161490335,-1.3060561133444821,138.32658733411438,122.45641266588564,130.3915
250,47279727.0,123.7826,122.16,124.66,124.71,121.8,1663560000000,448967,128.497,129.63842698951876,-2.2351188142106566,39.847938427206834,-1.550996403126419,137.15650481964124,122.26949518035882,129.71300000000002
251,47698432.0,122.7821,123.35,122.19,124.3963,121.14,1663646400000,474180,128.105,128.96129726319887,-3.10839743081437,36.07776976654801,-1.922263052919945,137.1018054727146,121.22119452728539,129.1615
252,58491687.0,120.996,122.49,118.54,123.76,118.45,1663732800000,570477,127.01100000000001,128.01390660290807,-8.449181340747595,31.22673003341606,-2.4824034417562615,137.31603495250596,119.49896504749398,128.40749999999997
253,55229190.0,117.2526,117.08,117.31,118.79,116.26,1663819200000,581894,125.75999999999999,127.04082418446188,-9.636419657987977,29.72994644239627,-2.99109003196412,137.3532550632018,117.81274493679823,127.58300000000001
254,65126665.0,113.9603,116.0,113.78,116.05,112.06,1663905600000,668706,123.81099999999999,125.83529471314716,-14.624446612140773,25.7882634964608,-3.6371426022755458,136.8594871669069,115.95651283309309,126.40799999999999
255,62723268.0,115.5794,113.295,115.15,117.34,113.13,1664164800000,637547,121.681,124.86390428467924,-15.61011359472333,29.801709723428033,-3.992572478134605,136.95839734519575,114.29760265480425,125.628
256,60049093.0,115.1425,117.195,114.41,118.32,113.05,1664251200000,570325,120.44000000000001,123.9135493497084,-9.785522788203751,28.86483279542429,-4.284575116165087,137.01287658321485,112.70512341678514,124.859
257,55763750.0,116.742,114.38,118.01,118.7,113.8,1664337600000,519756,119.38600000000001,123.37686304518947,-8.199144301828087,39.19706542472886,-4.177345557742655,136.69039115577812,111.95560884422191,124.32300000000001
258,58469714.0,114.4762,115.6,114.8,116.07,113.06,1664424000000,532322,118.23800000000001,122.5971482228995,-9.090909090909093,34.2660745715628,-4.301797093933146,136.7036948517625,110.7453051482375,123.72449999999999
259,59479586.0,114.4292,114.075,113.0,116.92,112.84,1664510400000,542095,117.18500000000002,121.72468020263591,-8.524245122642274,31.77550824412282,-4.493868273638711,136.61843788031382,109.34856211968614,122.98349999999998
260,50861854.0,115.1191,113.58,115.88,116.91,112.45,1664769600000,483031,116.30699999999999,121.19334563875991,-7.04315738809562,39.58234494259773,-4.3633956278394805,136.20609591389518,108.59790408610483,122.402
261,62812564.0,121.4554,119.89,121.09,123.0,119.79,1664856000000,592081,116.197,121.18395058069083,-0.900237335297483,50.88015988123936,-3.7958356275370733,135.8584970727707,108.4435029272293,122.151
262,48206285.0,119.8443,118.58,120.95,121.75,117.69,1664942400000,468866,116.43800000000002,121.16268234608258,2.0330690062426156,50.59766610830185,-3.3190768167299183,135.0178629680385,108.43113703196151,121.72449999999999
263,42253755.0,120.5259,120.77,120.3,121.53,119.5,1665028800000,401176,116.73700000000001,121.08425667825688,2.5488023186429074,49.188800854372055,-2.9595754485279713,134.01978071103352,108.4772192889665,121.2485
